courseId,id,title,titleDescription,owner,ownerDescription,videoLength,students
A1,61e7f78a6d9e6f00067549ab,直播銷貨很容易！第一次導購直播就上手,"全民直播導購潮來臨，每個人都可以打開直播銷售賣貨，但卻不是人人都能成功。
想要高人流、高轉換率、展現導購直播主獨特的個人行銷魅力，你一定不能錯過這堂課！",品好文化,"品好文化專注在數位新媒體發展，並持續在影像製作領域精進，無論是：
影像製作 / 直播服務 / 線上課程錄製 / 自媒體經營
我們都希望能將您的才華，公 諸 於 世！",7346,60
A2,6130495cd5d02a00071f2c3b,PChome 電商大學：給初學者的行銷入門課,電商成為新時代熱門產業，但台灣沒有電商系，想要搶先一步了解電商產業該怎麼辦?台灣電商產業龍頭PChome首度開班授課，教授電商行銷秘訣，從電商線上線下布局、社群經營、到數位行銷提案，這堂課可以讓你在短時間內從0開始了解電商的行銷布局，認識電商經營策略!,pchome2021,走過21的本土電商PChome開課囉!希望藉由開創台灣電商藍圖的經驗，分享給對電商產業有興趣的人們，讓我們一起「穩定」耕耘學習吧!,6705,225
A3,5e7a1ead9c4b140023a8536f,職場人必學的商業分析術,帶你學會產品與服務開發以及專案前中後期所需要的商業分析，包括數據收集與分析，運營企劃書提案，利害人關係分析，溝通協調心法，解決方案評估，需求導出的方法，建立流程模型與需求書等。這堂課不只是商業分析，其應用範圍更是與「軟體開發流程、需求分析與企業數位化息息相關」不管你是業務單位需要接觸到數位化或資訊相關單位想進一步了解如何有系統採集各業務部需求都可以一窺分析全貌。,Monica,大家好，我是Monica，簡莘怡。政治大學商學院畢業，在號稱歐洲矽谷的倫敦擔任商業分析顧問同時也是一名專案管理師，在過去的十年間，帶領過歐美眾多知名公司進行各種專案管理與商業分析。,27908,692
A4,5d242f020d5f3b0021dd3a75,illustrator 入門：從形狀到美麗的向量插畫,Illustrator 設計入門課程，將你的創造力透過 illustrator 設計呈現。課程專為初學者設計，從 illustrator 的介面操作開始，結合有趣的設計案例，讓你邊做邊學，累積向量繪圖的扎實能力。,Iris Lee,當你閃光，你就照亮了前程。我知道，僅僅通過執著於步驟並對意料之外的事情坦然接受，我就創造出了一條通往創意靈感的通道，這是一件及其有力的東西。,35801,786
A5,5b33cd4f2c4c44004391c836,PHP 攻略：Laravel 5.8 從入門到實務,厭倦低薪工作或想寫自己的電商網站？別怕菜程式，哥布林工程師(林品爵)帶你輕鬆學 Laravel 程式，保證讓你無痛寫出自己的第一個電子商務網站！,哥布林老師,我是哥布林老師，是哥布林程式教育學苑的創辦人，也是Laravel的EasyWeb套件開發者，雖非資工科班出身，但不覺間也在資訊產業擁有自己的一片天。,63273,272
A6,59f97b57a77a2d001eea8504,【電商正夯】找工作找實習必備 4 大技能,電商必備技能課程，掌握進入電商的基本技能與應用能力。課程將從商品行銷、素材設計開始，到客戶服務與商品出貨的概念與技能，帶你進入電商領域，作為你求職、轉職的即戰力。,TeSA,TeSA 臺灣電子商務創業聯誼會，由利來管理顧問有限公司負責營運。我們的發展目標，包括：匯聚臺灣電商人才、蒐集電商資訊，並促進創業團隊與境外電商的交流。,27381,994
A7,59849fbcacc1370700075d44,網路行銷全方位入門實戰（下集）,數位行銷進階課程，將從網站概念開始介紹，並教你搜尋引擎運作原理。課程也包含數據分析與應用、電子商務流程，以及蔚為趨勢的網紅行銷、口碑行銷，全方面的帶你理解數位行銷必備知識。,樊志霆,網站分析背景出身，出社會後投入網路行銷領域超過10年，是台灣少數結合行銷、技術、數據三項領域的專家，專注於網站數據分析、網站開發、搜尋引擎優化、報表視覺化等實務面工作，也擅長將工作上寶貴的經驗轉化為淺顯易懂的課程，曾任多間知名企業的數據顧問、電商營運分析主管，現任知名跨境球鞋電商首席數據分析師。,33077,775
A8,594f29d013cd380700228e7d,網路行銷全方位入門實戰（上集）,數位行銷入門課，適合網路行銷初學者。課程包含社群行銷、廣告文案撰寫、專案企劃、設計等技能教學，這堂數位行銷入門課將完整教你掌握網路行銷必備的五大能力。,樊志霆,網站分析背景出身，出社會後投入網路行銷領域超過10年，是台灣少數結合行銷、技術、數據三項領域的專家，專注於網站數據分析、網站開發、搜尋引擎優化、報表視覺化等實務面工作，也擅長將工作上寶貴的經驗轉化為淺顯易懂的課程，曾任多間知名企業的數據顧問、電商營運分析主管，現任知名跨境球鞋電商首席數據分析師。,44207,1968
A9,591a80571aa4b60f00364020,從零開始學文案 — 育名的文案小教室,文案撰寫入門課程，系統化的帶你從觀察、構思、撰寫、優化等步驟來檢視文案。教你文案撰寫的思考脈絡和如何寫出吸引人的標題，以及社群文案的撰寫重點，你也能寫出打動人心的達標文案。,min043046,"ＦＢ粉專：https://www.facebook.com/minmixedlearning

現在正在北京吸霧霾創業中。

1994年生，雙子座，從小在天龍國旁的一個小鄉鎮長大。
個性很怪，有時直爽、活潑，有時糾結、孤僻。喜歡老的、舊的各種東西，但又矛盾的喜愛極新的科技、互聯網；腦洞大開時可以想出各種天馬行空的點子，冷靜沈著時又會保守的讓自己很難向前走出任何一步。

喜歡攝影、烹飪、寫文章、與人交談。有時覺得自己善良，有時覺得自己邪惡；路見不平會拔刀，相助不相助全憑當時心情與氣力；偶爾反省自己，反省過度讓自己焦慮的睡不著是家常便飯，但往往付諸實踐還是得要一大段時間。

身體很糟，生活很老人很養生。",16817,333
A10,609dd3159c845e22c62117a3,【短片新手村】零拍攝短影片製作術,"你想速成短片，讓眾人驚嘆連連！？
TikTok 千萬讚網紅教你短片免拍術，
學會免拍攝影片創作法來省錢省力，
用 AE 做出吸睛爆紅社群與商業影片！",阿狗阿貓 x Makee Z,"千萬讚60萬粉絲TikTok圖文作家，
熱愛分享插畫 貼圖&短片製作術，
立志助你發光發熱實現不凡理想！",7545,179
A11,5ecf1e19f52bb449c74e7e4b,做圖啦！設計省攻略：品牌應用新手速成,"你在創業或經營品牌社群網拍電商？
你是餐廳小吃飲料或行銷小編助理？
你想省錢快速學平面設計排版印刷？
職場工作新手製圖的 Illustrator 教學！",Makee Z 愛自學,"我們喜歡自學，但是更熱愛分享！
政府學校曾多次邀請開設工作坊，
透過分享設計、行銷與自助旅遊，
立志助你發光發熱實現不凡理想！",11460,440
A12,5e3bb7b0c2fd100024c806f2,蝦皮新手賣家行銷術：斜槓副業第一步,"你想兼職副業但不懂網拍開店？
你的賣場冷清不知初期怎突破？
自學蝦皮個人賣家網拍行銷術，
菜鳥也能 DIY 人氣蝦皮賣場！",Makee Z 愛自學,"我們喜歡自學，但是更熱愛分享！
政府學校曾多次邀請開設工作坊，
透過分享設計、行銷與自助旅遊，
立志助你發光發熱實現不凡理想！",8572,977
A13,5ca17cd572a72f002150ed9d,GA 從零上手！數位時代必學的數據行銷秘笈,GA 入門課程，帶你學習數位時代必備的數據行銷。課程將由淺入深介紹 GA 的操作技巧與指標，教你如何運用數據來追蹤網站成效，並透過數據找出網站需要優化的地方。課程也將使用大量案例作為範例，透過實戰，帶你更快上手，將 GA 應用在工作中。,數位時代,《數位時代》跨越數位與傳統紙本媒體，串連線上與線下的資訊傳遞與實體活動，打造「大社群時代」的科技媒體。,13012,1971
A14,5bd6cafa2febb1001e900594,【幫寶貝做照片貼圖】用愛保鮮回憶,"寶寶情侶個人小孩寵物結婚動態貼圖DIY最省錢！
親密時光錯過了就永遠不會再回來，
自己學動態照片貼圖製作，只要一夜就完成！",阿狗阿貓 x Makee Z,"千萬讚60萬粉絲TikTok圖文作家，
熱愛分享插畫 貼圖&短片製作術，
立志助你發光發熱實現不凡理想！",3018,111
A15,5a32a1c6a99031007d977e9d,內容力：打造品牌的超能力,內容行銷課程，教你透過寫作，創作出高品質且吸引人的行銷內容。課程將從文案寫作開始，教你寫作架構與內容策略擬定，並透過實際內容行銷案例的分析，帶你掌握內容行銷的操作訣竅，最後也會介紹常見的行銷媒介，教你成為無往不利的內容駭客。,Vista,Vista來自風城新竹，現居臺北市，平常喜歡看看書，寫寫字。曾任《風傳媒》產品總監和《數位時代》雜誌主編，關注文化創意、資訊科技、網路社群與行動網絡之發展。文章散見《英語島》雜誌、《推推房》網站、《內容駭客》網站與《Fuel Up》網站等媒體，歡迎造訪其部落格或Facebook粉絲專頁。,7640,825
A16,59fc084fa77a2d001eea9286,不會畫圖也能創作角色LINE動態貼圖,LINE動態貼圖課程，完全不會繪圖/動畫軟體，也能完成專屬的 LINE 動態貼圖。課程將教你用Ai和 AE兩大軟體，製作好看又實用的 LINE專屬貼圖。,阿狗阿貓 x Makee Z,"千萬讚60萬粉絲TikTok圖文作家，
熱愛分享插畫 貼圖&短片製作術，
立志助你發光發熱實現不凡理想！",4955,436
