courseId,id,title,titleDescription,owner,ownerDescription,videoLength,students
A1,5f4c4a642836612efc89423c,Python 資料分析：AI 機器學習入門到應用,"本課程是以財團法人中華民國電腦技能基金會（CSF）的「TQC+ 人工智慧-機器學習 認證」為範疇，技能規範及試題命製，符合教育部課綱之規劃，共分為三大類別，循序漸進，由淺入深建立學員運 用機器學習解決問題的基本概念。
學習機器學習，可以讓您初窺現代人工智慧技術由資料中學習建立模型，進行分類、預測以解決問題，逐步邁向人工智慧實用學習技術，提高洞察力、反應力。",電腦技能基金會,"電腦技能基金會(CSF)深耕認證領域三十年，發展各項能力認證，已成為全國最大、最具公信力的認證機構，扮演銜接學校學習及職場實務應用的重要角色，同時用以協助政府與企業電子化創新應用，推廣及培育社會大眾資訊、網路及無線通訊應用能力，提升國家整體競爭力為宗旨。推動以「務實致用」為核心理念。目前國內已有500家大專校院及高中職建教合作、擁有150家授權訓練中心，服務網絡廣佈全國。

🔊更多資訊請見ＣＳＦ網站：https://www.csf.org.tw/main/index.asp",46980,705
A2,5dbb756d763da3002075eb62,如何成為資料分析師：從問題解決到行動方案,資料分析師養成課程，跟著資深資料分析師，透過資料分析的思維，帶你走過實際解決問題的框架。教你理解爬取與載入、清理與轉置等資料分析流程，讓你具備資料驅動的思維，解決職場或求學所遇到的問題。運用課程的問題解決案例，你也能逐步規劃出自己的資料分析師養成步驟。,郭耀仁,我是郭耀仁，是一位資料分析師、也是資料科學的專業講師，畢業自台灣大學商學研究所，現於台大工商管理學系、台大共同教育中心與師大企業管理學系兼任講師；在台大資工系統訓練班、資策會與中華電信學院講授資料科學課程。在專業講師之前任職過電商資料分析師、軟體公司資料分析顧問、銀行儲備幹部與管顧實習生，閒暇時喜歡長跑與寫作。在 Hahow 好學校開設線上課程「Python 的 50+ 練習」、「SQL 的五十道練習」與「如何成為資料分析師」，出版書籍有「新手村逃脫！初心者的 Python 機器學習攻略」（博碩文化）、「進擊的資料科學」（碁峰資訊）與「輕鬆學習 R 語言（碁峰資訊）」，創立「數據交點」基於「慢慢變強，克服程式設計與資料分析的學習焦慮」的核心理念，提供個人服務以及企業服務。,15554,986
A3,5d9c405e6f4b130023e9999d,Python 資料分析 - 網頁爬蟲與視覺呈現,Python 資料分析課程，教你運用 Python 網頁爬蟲與視覺呈現做資料分析。課程包含網頁資料擷取與轉換，如何運用 Matplotlib 和 Seaborn 進行視覺化呈現，循序漸進的帶你有邏輯的學習 Python 資料分析。,電腦技能基金會,"電腦技能基金會(CSF)深耕認證領域三十年，發展各項能力認證，已成為全國最大、最具公信力的認證機構，扮演銜接學校學習及職場實務應用的重要角色，同時用以協助政府與企業電子化創新應用，推廣及培育社會大眾資訊、網路及無線通訊應用能力，提升國家整體競爭力為宗旨。推動以「務實致用」為核心理念。目前國內已有500家大專校院及高中職建教合作、擁有150家授權訓練中心，服務網絡廣佈全國。

🔊更多資訊請見ＣＳＦ網站：https://www.csf.org.tw/main/index.asp",27534,680
A4,597df7e2acc137070007013c,Python 資料分析＆機器學習入門,Python 機器學習與資料分析入門課程，學習使用 Python 進行數據分析與資料分析，利用數據來增加營收，並透過機器學習來幫助組織未來的商業決策，最後帶你實際參與 Kaggle 資料科學競賽，透過實際演練學習應用方式，朝資料科學家邁進。,James,James，畢業於台灣大學電機所電腦科學組，曾擔任台積電資料科學家，協助使用生產數據提升iPhone8 10奈米晶片製造的良率以及在 Yahoo! 擔任軟體工程師，協助開發熱門關鍵字以及 DSP 廣告平台功能。目前在 Dcard 擔任機器學習工程師，負責廣告推薦系統。,26058,2054
A5,6238782d573d4b00060cf744, Python 購物籃分析：多商品推薦與利潤策略,"本課程以兩大面向協助您在銷售資料不完全的情況下，也能有效找出值得推薦的商品組合，提升企業的營收。

資料面：善用常見的顧客資料做商品搭售分析！
財務面：利用財務指標產出搭售策略，減少搭售分析結合財務指標的冤枉路！",臺灣行銷研究,臺灣行銷研究有限公司（TMR）所創建的【行銷資料科學團隊】 曾出版國內第一本的行銷資料科學書籍。經歷中華電信AI專案課程服務、資策會AI專案合作與課程服務、外貿協會國際企業人才培訓中心行銷資料科學課程服務。 曾主持參與金融業、化工業、醫療業、網路廣告業、彩妝業、出版業、高教產業、文教產業等資料科學案 同時創建全台第一個的【行銷資料科學】粉絲專頁、Line@、FB社團與Medium,8660,54
A6,60c1d33a8dd31844b56bfd54,學習 AI 一把抓：點亮人工智慧技能樹,"AI 一把抓，帶你一次學完 Python、資料分析、機器學習與深度學習！
課程包含：核心概念獎、手把手實作、參與兩項數據競賽 (top 35%)；
輕鬆入門，開啟你的斜槓新人生！",AI . FREE Team,AI . FREE Team 成立於 2018 年，秉持著「整合各方學習資源、跨專業領域知識共享」的核心理念，以人工智慧為研究主題，旨在建立自由、自主的學習文化。,81706,285
A7,6056f8ceab70de413d98e723,Python 輿情應用趣：顧客樣貌分析攻略,第一門以「外部輿情資料」結合「顧客樣貌與財務價值」出發的「Python 分析課程」，透過爬蟲實戰全台最大輿情平台，結合市場關鍵字與顧客樣貌分析，並將市場財務價值帶進分析思維。幫助在外部輿情分析上遇到困擾的您，找出更多的商務洞見。,臺灣行銷研究,臺灣行銷研究有限公司（TMR）所創建的【行銷資料科學團隊】 曾出版國內第一本的行銷資料科學書籍。經歷中華電信AI專案課程服務、資策會AI專案合作與課程服務、外貿協會國際企業人才培訓中心行銷資料科學課程服務。 曾主持參與金融業、化工業、醫療業、網路廣告業、彩妝業、出版業、高教產業、文教產業等資料科學案 同時創建全台第一個的【行銷資料科學】粉絲專頁、Line@、FB社團與Medium,18063,171
A8,5fd24f017687e53b086c7fe7,SQL的五十道練習：初學者友善的資料庫入門,如果日常需要使用資料庫作為分析的數據來源，學會SQL將能大幅提升工作掌握度與職涯發展性，一起完成五十道練習把它學起來！,郭耀仁,我是郭耀仁，是一位資料分析師、也是資料科學的專業講師，畢業自台灣大學商學研究所，現於台大工商管理學系、台大共同教育中心與師大企業管理學系兼任講師；在台大資工系統訓練班、資策會與中華電信學院講授資料科學課程。在專業講師之前任職過電商資料分析師、軟體公司資料分析顧問、銀行儲備幹部與管顧實習生，閒暇時喜歡長跑與寫作。在 Hahow 好學校開設線上課程「Python 的 50+ 練習」、「SQL 的五十道練習」與「如何成為資料分析師」，出版書籍有「新手村逃脫！初心者的 Python 機器學習攻略」（博碩文化）、「進擊的資料科學」（碁峰資訊）與「輕鬆學習 R 語言（碁峰資訊）」，創立「數據交點」基於「慢慢變強，克服程式設計與資料分析的學習焦慮」的核心理念，提供個人服務以及企業服務。,24181,1319
A9,5f89465d10a9ed6f2ee60e8c,不寫程式的數據分析： Excel 商業分析實戰,Excel做數據分析，讓你不需撰寫程式也能成為數位轉型的人才！跟著 TMR 團隊，一起使用熟悉、好上手的 Excel 進入數據分析領域，從資料中洞悉出商業價值，達到 Python 的分析效果！,陳俊凱 Luke Chen,我是Luke，在Hahow開設《不寫程式的數據分析： Excel 商業分析實戰》與《Excel Power BI 購物籃分析及視覺化實戰》，擅長以常遇到的實際問題作為課程案例，以簡潔明瞭的教學風格，帶領你一步步成為Excel與Google sheets 行家。,22218,393
A10,5f58478c880fc4310780cd8f,Python 行銷資料科學 ：基礎語法入門最前線,本課程是特別為對數據分析有興趣，但又沒有程式基礎的初學者所設計。老師藉由深入淺出的方式，帶您入門程式語法，不僅用有趣有邏輯的架構增加學習的效果，最後也用落地的案例，讓您透過不斷的實作，更靈活動地應用語法。達到程式學習最佳的效果，也可以幫助後續其他數據分析的課程學習更易上手。,鍾皓軒,"臺灣行銷研究有限公司（TMR）的創辦人。 

出版國內第一本的行銷資料科學書籍。經歷中華電信AI專案合作講師、資策會AI合作講師、外貿協會國際企業人才培訓中心行銷資料科學講師。曾主持參與金融業、化工業、醫療業、網路廣告業、彩妝業、出版業、高教產業、文教產業等資料科學案
同時為行銷資料科學粉絲專頁、Line@、FB社團與Medium 總管理者/主編/創辦人",27113,301
